1,wangliu,王六,男,1975-01-15,13563471234,博士,我是最棒的！
22,t2023001,张明华,男,1980-05-15,13900139001,博士,教育是点燃火焰，而不是填满容器
23,t2023002,李静,女,1982-08-22,13900139002,硕士,每个学生都是独特的个体
24,t2023003,王建国,男,1978-11-30,13900139003,博士,严师出高徒
25,t2023004,刘芳,女,1985-03-18,13900139004,硕士,爱心育人，用心教书
26,t2023005,陈志强,男,1983-07-09,13900139005,博士,学高为师，身正为范
27,t2023006,杨雪,女,1987-09-12,13900139006,硕士,教育是慢的艺术
28,t2023007,赵立新,男,1979-02-28,13900139007,博士,授人以鱼不如授人以渔
29,t2023008,周慧敏,女,1984-12-25,13900139008,硕士,用爱心启迪心灵
30,t2023009,吴刚,男,1981-06-14,13900139009,博士,教育无小事，事事皆育人
31,t2023010,郑丽,女,1986-08-03,13900139010,硕士,静待花开
32,t2023011,孙伟,男,1982-04-17,13900139011,博士,教育的艺术不在传授，而在激励和唤醒
33,t2023012,朱琳,女,1988-10-29,13900139012,硕士,教学相长
34,t2023013,胡志明,男,1980-09-05,13900139013,博士,千教万教教人求真
35,t2023014,林小燕,女,1983-07-19,13900139014,硕士,爱是最好的教育
36,t2023015,梁建国,男,1977-11-11,13900139015,博士,教育改变命运
37,t2023016,黄雅琴,女,1985-06-23,13900139016,硕士,用心做教育
38,t2023017,谢文斌,男,1984-08-08,13900139017,博士,教育是事业，事业的成功在于奉献
39,t2023018,徐静怡,女,1989-05-31,13900139018,硕士,没有爱就没有教育
40,t2023019,高志强,男,1982-12-12,13900139019,博士,教育是心灵的对话
41,t2023020,罗美玲,女,1986-04-04,13900139020,硕士,教育植根于爱
